VegCover;Locality;Site;Abundance;Species;Longitude;Biomass
Secondary forest;Las Vegas;1;8;4;12.52708333;1.773
Secondary forest;Las Vegas;2;24;7;11.49791667;6.632
Secondary forest;Las Vegas;3;7;3;14.85285714;4.164
Secondary forest;Las Vegas;4;14;3.66;14.51642857;8.536
Secondary forest;Las Palmas;1;9.66;4;12.39206897;1.44
Secondary forest;Las Palmas;2;10.66;6;10.7125;1.747
Secondary forest;Las Palmas;3;8;3;12.74166667;1.237
Secondary forest;Las Palmas;4;11;3;14.57;2.124
Secondary forest;Santa Elena;1;24;4.33;12.5875;11.65
Secondary forest;Santa Elena;2;21;5.33;16.03603175;14.362
Secondary forest;Santa Elena;3;15.33;6;13.86652174;8.333
Secondary forest;Santa Elena;4;26;4.66;10.18320513;7.782
Secondary forest;Santa Rita;1;4;0.83;16.03083333;1.905
Secondary forest;Santa Rita;2;4;1.33;16.69666667;2.709
Secondary forest;Santa Rita;3;7.66;3;16.70608696;5.874
Secondary forest;Santa Rita;4;11.33;3.66;16.31323529;8.115
Pasture;Las Vegas;1;5;1.66;16.90266667;2.546
Pasture;Las Vegas;2;2.33;2.33;18.59;1.457
Pasture;Las Vegas;3;2.66;1;16.745;1.247
Pasture;Las Vegas;4;1.66;1;12.226;0.551
Pasture;Las Palmas;1;2.33;0.33;16.58;1.232
Pasture;Las Palmas;2;0.33;0.33;16.58;0.176
Pasture;Las Palmas;3;1.33;0.66;13.91;0.542
Pasture;Las Palmas;4;0;0;0;0
Pasture;Santa Rita;1;3;1.66;14.46333333;1.235
Pasture;Santa Rita;2;3.66;1.33;16.26090909;1.469
Pasture;Santa Rita;3;1.66;0.66;16.724;0.786
Pasture;Santa Rita;4;4;2.33;15.25916667;1.572
Pasture;Santa Elena;1;1;0.66;6.506666667;0.041
Pasture;Santa Elena;2;4.66;1.33;10.01285714;0.765
Pasture;Santa Elena;3;2.66;1;6.59625;0.244
Pasture;Santa Elena;4;9.66;1;8.05137931;0.678
Cacao agroforestry;Las Vegas;1;18;4.66;9.873518519;2.53
Cacao agroforestry;Las Vegas;2;6.33;4.33;9.573684211;0.872
Cacao agroforestry;Las Vegas;3;9;4.66;10.06555556;1.655
Cacao agroforestry;Las Vegas;4;8;5.33;7.398333333;0.508
Cacao agroforestry;Las Palmas;1;28;2.66;7.535119048;1.033
Cacao agroforestry;Las Palmas;2;17;4;9.731176471;1.81
Cacao agroforestry;Las Palmas;3;15;4.33;8.794444444;1.419
Cacao agroforestry;Las Palmas;4;7;3;9.401904762;0.632
Cacao agroforestry;Santa Elena;1;15;5.33;10.45577778;3.087
Cacao agroforestry;Santa Elena;2;14.33;5.66;9.641162791;3.004
Cacao agroforestry;Santa Elena;3;26.33;7;8.728860759;3.872
Cacao agroforestry;Santa Elena;4;35;6;8.757714286;6.744
Cacao agroforestry;Santa Rita;1;27.66;5.66;8.359879518;2.175
Cacao agroforestry;Santa Rita;2;32;7;8.427604167;3.078
Cacao agroforestry;Santa Rita;3;27.33;3.66;7.295853659;2.002
Cacao agroforestry;Santa Rita;4;40.66;6;7.929344262;3.09
